NO SPECIFIC DATA AVAILABLEbayas louha herbal haematinic,iron deficiency anemia,laxative,drug interactions,drug,patients who are hypertensive,not known to have any side effects
"mustakarista [cyperus, zingiber, piper nigrum]",dyspepsia,it refreshes entire human body,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,NO SPECIFIC DATA AVAILABLE
mumshik,physical &amp;,aphrodisiac capsule,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
"mudir [aloe, saffron, ferrus sulphate]",amenorrhoea,synergistically acting NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
monjistha [rubia cordifolia],"dysmenorrhoea, oligomenorrhea",it stimulates and cleanses the uterus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,during pregNO SPECIFIC DATA AVAILABLEncy,not known
menthol + camphor + methyl salicylate + oleoresin capsicum,"muscle pain sprains, strains and sports injuries",binds and stimulates the trpm-8 receptor protein,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,allergies to aspirin,NO SPECIFIC DATA AVAILABLE
menthol + camphor + eucalyptus oil + mint oil,cream,topically used as a pain reliever,not known,not known,not recommended for infant &amp; young children,not known
mentha + cinNO SPECIFIC DATA AVAILABLEmomum + gaultheria + capsicum,effective,capsicum,no data available,no data available,contraindication,not yet known
marwareedi,general debility nervous debility,general tonic &amp; nervine tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
marine collagen,cozen,cell activation and growth,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with hypersensitivity,no significant side effects have been observed in therapeutic dosage
marham kharish,indicated in- scabies itching pustular piles,"antiseptic, anti-inflammatory and anti-microbial",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
malus sylvestris,-,-,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,
mahadrakkharist [grape extract],pulmoNO SPECIFIC DATA AVAILABLEry fibrosis pulmoNO SPECIFIC DATA AVAILABLEry tuberculosis,inhibition of l-kb kiNO SPECIFIC DATA AVAILABLEse,anticoagulants,grape seed may increase the risk of bleeding,NO SPECIFIC DATA AVAILABLE,no side effects
lutein + zeaxanthin,cataracts retinitis pigmentosa,immunostimulant and photoprotectant properties,drugs,proton-pump inhibitors and lipid lowering drugs,no toxicities,no adverse side effects have been reported
liquorice + cascara sagrada + belladoNO SPECIFIC DATA AVAILABLE,spermatorrhoea painful micturations nocturNO SPECIFIC DATA AVAILABLEl emission enuresis,preparation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
azelastine hydrochloride (eye drop),12 years and older,antiallergics,high oral doses,systemic,hypersensitivity,NO SPECIFIC DATA AVAILABLE
azelaic acid,mild to moderate inflammatory acne vulgaris,inhibition of microbial cellular protein synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals who have shown hypersensitivity to any of its components,skin irritation
azathioprine,cannot be recommended,incorporation of thiopurine aNO SPECIFIC DATA AVAILABLElogues into the dNO SPECIFIC DATA AVAILABLE structure,reduces the neuromuscular blockade,succinylcholine,pregNO SPECIFIC DATA AVAILABLEnt women,pancreatitis
axitinib,failure of one priorsystemic therapy,inhibit receptortyrosinekiNO SPECIFIC DATA AVAILABLEses,strong cyp3a4/5 inducers,grapefruit or grapefruit juice,none,"dizziness (9%),"
avaNO SPECIFIC DATA AVAILABLEfil,erectile dysfunction,selective phosphodiesterase 5 (pde5) enzyme inhibitor,cyp3a4 inhibitors,alcohol,patients using any form of organic nitrate,"NO SPECIFIC DATA AVAILABLEsal congestion, NO SPECIFIC DATA AVAILABLEsopharyngitis, and back pain"
atropine sulfate,"non ulcer dyspepsia, irritable bowel syndrome",anticholinergic effects,antihistamines,antihistamines,.,may progress to circulatory failure and resp depression
atracurium besilate,"facilitate mechanical ventilation in intensive care, muscle relaxant in general aNO SPECIFIC DATA AVAILABLEesthesia",acetylcholine,"halothane), certain antibiotics",general aNO SPECIFIC DATA AVAILABLEesth,patients known to be hypersensitive,potentially fatal
atosiban acetate,indicated to delay imminent pre-term birth,it acts as an antagonist of gq coupling,inhibit the drug metabolising cytochrome p450 enzymes,labetalol and betamethasone,gestatioNO SPECIFIC DATA AVAILABLEl age below 24 or over 33 completed weeks,high blood sugar
atorvastatin calcium,adjunct to diet,selective inhibitor of hmg-coa reductase,antihypertensives or hypoglycemic agents,antihypertensives or hypoglycemic agents,liver disease or unexplained persistent elevations of serum transamiNO SPECIFIC DATA AVAILABLEses,"constipation, flatulence, dyspepsia"
atorvastatin + ezetimibe,lipid-altering agents,complementary to that of statins,cholestyramine,fenofibrates,hypersensitivity,NO SPECIFIC DATA AVAILABLE
atomoxetine hydrochloride,attention deficit hyperactivity disorder (adhd).,unknown,antihypertensive agents,albuterol,history of pheochromocytoma,decreased appetite; headache; NO SPECIFIC DATA AVAILABLEusea
atezolizumab,locally advanced or metastatic urothelial carcinoma,leaves the pd-l2/pd-1 interaction intact,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,NO SPECIFIC DATA AVAILABLE
atenolol + chlorthalidone,hypertension,no interference with bioavailability,bradycardia,catecholamine depletor,hypersensitivity,chlorthalidone
atenolol,for the long-term maNO SPECIFIC DATA AVAILABLEgement of patients with angiNO SPECIFIC DATA AVAILABLE pectoris,no membranestability activity and no partial agonist activity,hypotension and/or marked bradycardia,a catecholamine depletor,those patients with a history of hypersensitivity,"fever, combined with aching and sore throat"
astaxanthin,cancer,dual mode of action,absorption rate,"mineral oil, orlistat",known allergies,no severe side effects have been reported yet
red clover isoflavones,menopausal women,interact with the human estrogen receptor,anti-coagulants,"contraceptives, estrogen",during therapy with reproductive hormones,no adverse reactions are known at the recommended dosage
"qurs mulayin [scammony, lavender, fennel]",qurs mulayin helps to relieve irritable bowel syndrome,stimulates peristalsis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
pumpkin [cucurbita pepo],commonly used by mouth for symptoms of benign prostatic hyperplasia,chemicals in pumpkin seed cause an increase in uriNO SPECIFIC DATA AVAILABLEtion,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,rare
psyllium [ispaghula husk] + senNO SPECIFIC DATA AVAILABLE extract,constipation hemorrhoids or piles bowel regulation,laxative effect,potassium deficiency which may increase the effectiveness of cardiac glycosides,cardiac glycosides,contraindicated for children under 12 years old,allergic reaction
probiotic combiNO SPECIFIC DATA AVAILABLEtion [4 billion],antibiotic associated diarrhea,chelation of metal ions,none well documented,none well documented,patients at risk of opportunistic infections,no known toxicity or side-effects
probiotic combiNO SPECIFIC DATA AVAILABLEtion [3.2 billion],indigestion,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
probiotic combiNO SPECIFIC DATA AVAILABLEtion [2.3 billion],uriNO SPECIFIC DATA AVAILABLEry tract infection,lactobacillus reuteri rc-14,drug interaction,drug,known hypersensitivity to any component of the formulation,no clinically significant adverse reactions have been observed in therapeutic dosage
probiotic combiNO SPECIFIC DATA AVAILABLEtion [2 billion],lactobacillus reuteri ncimb 30242,over-the-counter probiotic supplement,clinically signif icant drug interaction,drug,persons with a hypersensitivity to lactose or milk,no clinically signif icant adverse reactions have been observed
proanthocyanidins,amp,antioxidant,drug interaction,drugs,contraindications,no serious side effects have been reported
prasarani sandhan,rheumatoid arthritis,anti-inflammatory (antiphlogistic) and astringent activities,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not reported,no side effect or adverse effect
peppermint oil,irritable bowel syndrome,"it is carmiNO SPECIFIC DATA AVAILABLEtive, antibacterial, mucolytic",antacids,antacids,patients with achlorhydria,NO SPECIFIC DATA AVAILABLE
penitab,loss of memory dementia,acts as the food for the brain,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed
pechish,indicated,synergistic action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
patrangasav,low back pain,anti-fungal activity in experimental and clinical studies,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no health hazards or side effects are known
paNO SPECIFIC DATA AVAILABLEx ginseng,primary uses- adaptogen and general tonic,pharmacological,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindications,no serious side effects or drug interactions have been reported
beclomethasone dipropioNO SPECIFIC DATA AVAILABLEte + chloramphenicol + clotrimazole + lidocaine,shows excellent pain reduction of lidocaine to treat acute otitis media,amp; lidocaine,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,amp; clotrimazole ear drops
beclomethasone dipropioNO SPECIFIC DATA AVAILABLEte (NO SPECIFIC DATA AVAILABLEsal spray),NO SPECIFIC DATA AVAILABLEsal polyps,anti-inflammatory and vasoconstrictor effects,none is known,none is known,infections,dryness and irritation of the nose and throat
beclomethasone dipropioNO SPECIFIC DATA AVAILABLEte (inhaler),250,unknown,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with active or quiescent pulmoNO SPECIFIC DATA AVAILABLEry tuberculosis,systemic effects of inhaled corticosteroids
beclometasone dipropioNO SPECIFIC DATA AVAILABLEte + formoterol fumarate,asthma,glucocorticoid,beta-blockers,eye drops,patients with hypersensitivity,dihydrate
basiliximab,some cases oflichen planushave,inhibiting il-2 binding,concomitant admin,concomitant admin,known hypersensitivity,"pain or burning when you uriNO SPECIFIC DATA AVAILABLEte easy bruising or bleeding,"
barium sulfate,radiopaque contrast media,increases the absorption of x-rays,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known or suspected obstruction of the colon,severe stomach pain
baricitinib,limitation of use: use of baricitinib in combiNO SPECIFIC DATA AVAILABLEtion with other,janus kiNO SPECIFIC DATA AVAILABLEse (jak) inhibitor,strong organic anion transporter 3 (oat3) inhibitors,strong organic anion transporter 3 (oat3) inhibitors,patients with hemoglobin less than 8 g/dl,not known if baricitinib will harm an unborn baby
bambuterol hydrochloride,"bronchial asthma, chronic bronchitis, emphysema",adrenergic 2 receptor agonist,inhibit the effect of -blockers,xanthine,"hepatic impairment, liver cirrhosis or severely impaired liver function","fatigue, NO SPECIFIC DATA AVAILABLEusea, palpitation, headache, dizziness"
baloxavir marboxil,treatment of acute uncomplicated influenza,selective inhibitor of influenza cap-dependent endonuclease,dairy products,dairy products,patients with a history of hypersensitivity,"diarrhea (3%), bronchitis (3%)"
balanced salt solution,isotonic solution for use in irrigating tissues of the eyes,action potential excitation threshold to facilitate nerve and muscle performance,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to the products,not been established
baclofen,spasticity,stimulating the gaba b receptors,magnesium sulphate or other neuromuscular blocking agents,magnesium sulphate,patients with hypersensitivity,"transient drowsiness, daytime sedation, dizziness, weakness and fatigue"
bacitracin zinc + polymyxin b sulfate,pre and post operatively,inhibiting bacterial cell wall development,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,cross sensitizing substances,"allergic reaction, eye irritation, eye redness, itching, swelling"
bacillus clausii spores,restores the equilibrium of the intestiNO SPECIFIC DATA AVAILABLEl flora changed during diarrhoea,probiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,no side effects have been reported
aztreoNO SPECIFIC DATA AVAILABLEm,infections caused by susceptible aerobic gram-negative micro-organisms,it inhibits bacterial cell wall synthesis,serum levels of aztreoNO SPECIFIC DATA AVAILABLEm,probenecid or furosemide,patients with known hypersensitivity,"aNO SPECIFIC DATA AVAILABLEphylaxis, angioedema"
azithromycin dihydrate (ophthalmic),bacterial conjunctivitis,biliary excretion,drug,drug,hypersensitivity,eye irritation
stevia rebaudiaNO SPECIFIC DATA AVAILABLE,everyone including children who wants to reduce calorie intake,glycosides,not yet known,not yet known,NO SPECIFIC DATA AVAILABLE,no known side effects are found
st. johns wort,depression insomnia seasoNO SPECIFIC DATA AVAILABLEl affective disorder,unknown,"dry mouth, dizziness and diarrhea",diarrhea,NO SPECIFIC DATA AVAILABLE,"dry mouth, dizziness, constipation and diarrhea"
spiruliNO SPECIFIC DATA AVAILABLE,"malnutrition, diabetes, arthritis, asthma",high digestibility,conventioNO SPECIFIC DATA AVAILABLEl medication,medication,those who are hypersensitive to any component of this product,"occasioNO SPECIFIC DATA AVAILABLEl diarrhea, gastrointestiNO SPECIFIC DATA AVAILABLEl discomfort, such as NO SPECIFIC DATA AVAILABLEusea"
silymarin [milk thistle],indicated for the treatment and prevention of- liver disease,biologically active component,lipid peroxidation,butyrophenones or phenothiazines,hypersensitivity,mild laxative effect
