,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
152,azathioprine,cannot be recommended,incorporation of thiopurine analogues into the dna structure,reduces the neuromuscular blockade,succinylcholine,pregnant women,pancreatitis
153,axitinib,failure of one priorsystemic therapy,inhibit receptortyrosinekinases,strong cyp3a4/5 inducers,grapefruit or grapefruit juice,none,"dizziness (9%),"
154,avanafil,erectile dysfunction,selective phosphodiesterase 5 (pde5) enzyme inhibitor,cyp3a4 inhibitors,alcohol,patients using any form of organic nitrate,"nasal congestion, nasopharyngitis, and back pain"
155,atropine sulfate,"non ulcer dyspepsia, irritable bowel syndrome",anticholinergic effects,antihistamines,antihistamines,.,may progress to circulatory failure and resp depression
156,atracurium besilate,"facilitate mechanical ventilation in intensive care, muscle relaxant in general anaesthesia",acetylcholine,"halothane), certain antibiotics",general anaesth,patients known to be hypersensitive,potentially fatal
157,atosiban acetate,indicated to delay imminent pre-term birth,it acts as an antagonist of gq coupling,inhibit the drug metabolising cytochrome p450 enzymes,labetalol and betamethasone,gestational age below 24 or over 33 completed weeks,high blood sugar
158,atorvastatin calcium,adjunct to diet,selective inhibitor of hmg-coa reductase,antihypertensives or hypoglycemic agents,antihypertensives or hypoglycemic agents,liver disease or unexplained persistent elevations of serum transaminases,"constipation, flatulence, dyspepsia"
159,atorvastatin + ezetimibe,lipid-altering agents,complementary to that of statins,cholestyramine,fenofibrates,hypersensitivity,NO SPECIFIC DATA AVAILABLE
160,atomoxetine hydrochloride,attention deficit hyperactivity disorder (adhd).,unknown,antihypertensive agents,albuterol,history of pheochromocytoma,decreased appetite; headache; nausea
161,atezolizumab,locally advanced or metastatic urothelial carcinoma,leaves the pd-l2/pd-1 interaction intact,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,NO SPECIFIC DATA AVAILABLE
162,atenolol + chlorthalidone,hypertension,no interference with bioavailability,bradycardia,catecholamine depletor,hypersensitivity,chlorthalidone
163,atenolol,for the long-term management of patients with angina pectoris,no membranestability activity and no partial agonist activity,hypotension and/or marked bradycardia,a catecholamine depletor,those patients with a history of hypersensitivity,"fever, combined with aching and sore throat"
164,astaxanthin,cancer,dual mode of action,absorption rate,"mineral oil, orlistat",known allergies,no severe side effects have been reported yet
165,red clover isoflavones,menopausal women,interact with the human estrogen receptor,anti-coagulants,"contraceptives, estrogen",during therapy with reproductive hormones,no adverse reactions are known at the recommended dosage
166,"qurs mulayin [scammony, lavender, fennel]",qurs mulayin helps to relieve irritable bowel syndrome,stimulates peristalsis,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
167,pumpkin [cucurbita pepo],commonly used by mouth for symptoms of benign prostatic hyperplasia,chemicals in pumpkin seed cause an increase in urination,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,rare
168,psyllium [ispaghula husk] + senna extract,constipation hemorrhoids or piles bowel regulation,laxative effect,potassium deficiency which may increase the effectiveness of cardiac glycosides,cardiac glycosides,contraindicated for children under 12 years old,allergic reaction
169,probiotic combination [4 billion],antibiotic associated diarrhea,chelation of metal ions,none well documented,none well documented,patients at risk of opportunistic infections,no known toxicity or side-effects
170,probiotic combination [3.2 billion],indigestion,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
171,probiotic combination [2.3 billion],urinary tract infection,lactobacillus reuteri rc-14,drug interaction,drug,known hypersensitivity to any component of the formulation,no clinically significant adverse reactions have been observed in therapeutic dosage
172,probiotic combination [2 billion],lactobacillus reuteri ncimb 30242,over-the-counter probiotic supplement,clinically signif icant drug interaction,drug,persons with a hypersensitivity to lactose or milk,no clinically signif icant adverse reactions have been observed
173,proanthocyanidins,amp,antioxidant,drug interaction,drugs,contraindications,no serious side effects have been reported
174,prasarani sandhan,rheumatoid arthritis,anti-inflammatory (antiphlogistic) and astringent activities,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not reported,no side effect or adverse effect
175,peppermint oil,irritable bowel syndrome,"it is carminative, antibacterial, mucolytic",antacids,antacids,patients with achlorhydria,NO SPECIFIC DATA AVAILABLE
176,penitab,loss of memory dementia,acts as the food for the brain,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed
177,pechish,indicated,synergistic action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
178,patrangasav,low back pain,anti-fungal activity in experimental and clinical studies,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no health hazards or side effects are known
179,panax ginseng,primary uses- adaptogen and general tonic,pharmacological,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindications,no serious side effects or drug interactions have been reported
180,beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine,shows excellent pain reduction of lidocaine to treat acute otitis media,amp; lidocaine,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE,amp; clotrimazole ear drops
181,beclomethasone dipropionate (nasal spray),nasal polyps,anti-inflammatory and vasoconstrictor effects,none is known,none is known,infections,dryness and irritation of the nose and throat
182,beclomethasone dipropionate (inhaler),250,unknown,<NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with active or quiescent pulmonary tuberculosis,systemic effects of inhaled corticosteroids
183,beclometasone dipropionate + formoterol fumarate,asthma,glucocorticoid,beta-blockers,eye drops,patients with hypersensitivity,dihydrate
184,basiliximab,some cases oflichen planushave,inhibiting il-2 binding,concomitant admin,concomitant admin,known hypersensitivity,"pain or burning when you urinate easy bruising or bleeding,"
185,barium sulfate,radiopaque contrast media,increases the absorption of x-rays,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known or suspected obstruction of the colon,severe stomach pain
186,baricitinib,limitation of use: use of baricitinib in combination with other,janus kinase (jak) inhibitor,strong organic anion transporter 3 (oat3) inhibitors,strong organic anion transporter 3 (oat3) inhibitors,patients with hemoglobin less than 8 g/dl,not known if baricitinib will harm an unborn baby
187,bambuterol hydrochloride,"bronchial asthma, chronic bronchitis, emphysema",adrenergic 2 receptor agonist,inhibit the effect of -blockers,xanthine,"hepatic impairment, liver cirrhosis or severely impaired liver function","fatigue, nausea, palpitation, headache, dizziness"
188,baloxavir marboxil,treatment of acute uncomplicated influenza,selective inhibitor of influenza cap-dependent endonuclease,dairy products,dairy products,patients with a history of hypersensitivity,"diarrhea (3%), bronchitis (3%)"
189,balanced salt solution,isotonic solution for use in irrigating tissues of the eyes,action potential excitation threshold to facilitate nerve and muscle performance,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to the products,not been established
190,baclofen,spasticity,stimulating the gaba b receptors,magnesium sulphate or other neuromuscular blocking agents,magnesium sulphate,patients with hypersensitivity,"transient drowsiness, daytime sedation, dizziness, weakness and fatigue"
191,bacitracin zinc + polymyxin b sulfate,pre and post operatively,inhibiting bacterial cell wall development,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,cross sensitizing substances,"allergic reaction, eye irritation, eye redness, itching, swelling"
192,bacillus clausii spores,restores the equilibrium of the intestinal flora changed during diarrhoea,probiotic,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,hypersensitivity,no side effects have been reported
193,aztreonam,infections caused by susceptible aerobic gram-negative micro-organisms,it inhibits bacterial cell wall synthesis,serum levels of aztreonam,probenecid or furosemide,patients with known hypersensitivity,"anaphylaxis, angioedema"
194,azithromycin dihydrate (ophthalmic),bacterial conjunctivitis,biliary excretion,drug,drug,hypersensitivity,eye irritation
195,stevia rebaudiana,everyone including children who wants to reduce calorie intake,glycosides,not yet known,not yet known,NO SPECIFIC DATA AVAILABLE,no known side effects are found
196,st. johns wort,depression insomnia seasonal affective disorder,unknown,"dry mouth, dizziness and diarrhea",diarrhea,NO SPECIFIC DATA AVAILABLE,"dry mouth, dizziness, constipation and diarrhea"
197,spirulina,"malnutrition, diabetes, arthritis, asthma",high digestibility,conventional medication,medication,those who are hypersensitive to any component of this product,"occasional diarrhea, gastrointestinal discomfort, such as nausea"
198,silymarin [milk thistle],indicated for the treatment and prevention of- liver disease,biologically active component,lipid peroxidation,butyrophenones or phenothiazines,hypersensitivity,mild laxative effect
199,sharbat musaffi,blood purifier,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
200,sharbat amla,vitamin c deficiency diseases,NO SPECIFIC DATA AVAILABLE,no report,no report,patients who are hypersensitive to any of its ingredient,no significant side effects have been observed in therapeutic dosage
201,saw palmetto (500 mg),urination problems in benign prostatic hyperplasia,<NO SPECIFIC DATA AVAILABLE,hormones,"hormones, hormone-like drugs or adrenergic drugs",no absolute contraindications,stomach problems
202,saw palmetto (160 mg),zinc,inhibits action of 5-reductase,estrogen,birth control pills,frst ruling out prostate cancer,hypertension
203,saribadyarista,skin diseases,properties,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,not yet known
204,sanoon babla,pyorrhoea gingivitis toothache,natural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper usage
205,sanjivani rasayan,stress,antidepressant and nutritive properties,<,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
206,sana + revand chini + neem + chirata + tulsi,blood,purifies blood and cures almost every skin disease.,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
207,salep + coconut + poppy seeds + almond,general debility nervous debility,unique combination,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,contraindication,no significant side effect has been observed in the therapeutic dosage
208,"salajeet [mineral pitch, red sage]",polyuria leucorrhoea,antioxidant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in proper dosage
209,saffron + sand lizard + nutmeg fruit,sexual debility loss of libido premature ejaculation fatigue,unique preparation,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,children,no significant side effect has been observed in proper dosage
210,betamethasone + calcipotriol,topical suspension,non-steroidal antipsoriatic agent,additive adverse effects,steroids,patients with a history of hypersensitivity to any of the components,folliculitis and burning sensation of skin
211,betamethasone,asthma severe allergic reactions rheumatoid arthritis,short duration of action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,if you have an infection,changing how you act or having feelings of being alone
212,betahistine mesylate,vertigo and dizziness,increasing the blood flow in the inner ear,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,"pheochromocytoma, peptic ulcer",hypersensitivity: hypersensitivity reactions
