generic_name,contraindications_description,contraindication_result
baricitinib,anemia: avoid initiation or interrupt baricitinib in patients with hemoglobin less than 8 g/dl. lymphopenia: avoid initiation or interrupt baricitinib in patients with an absolute lymphocyte count less than 500 cells/mm3. neutropenia: avoid initiation or interrupt baricitinib in patients with an absolute neutrophil count less than 1000 cells/mm3.,neutropenia
bambuterol hydrochloride,"bambuterol is contraindicated in hepatic impairment, liver cirrhosis or severely impaired liver function.","hepatic impairment, liver cirrhosis or severely impaired liver function"
baloxavir marboxil,baloxavir marboxil is contraindicated in patients with a history of hypersensitivity to baloxavir marboxil or any of its ingredients.,hypersensitivity
balanced salt solution,contraindicated in patients with known hypersensitivity to the products.,hypersensitivity to the products
baclofen,baclofen is contraindicated in patients with hypersensitivity to any component of this product.,hypersensitivity to any component
bacitracin zinc + polymyxin b sulfate,"polytracin is contraindicated in those individuals who have shown hypersensitivity to polymixin-b sulphate, becitracin zinc or to cross sensitizing substances.",becitracin zinc or to cross sensitizing substances
bacillus clausii spores,hypersensitivity towards the components or other closely related substances.,hypersensitivity towards the components or other closely related substances
aztreonam,this preparation is contraindicated in patients with known hypersensitivity to aztreonam or any other component in the formulation.,hypersensitivity to aztreonam
azithromycin dihydrate (ophthalmic),hypersensitivity to any component of the preparation.,hypersensitivity to any component of the preparation
stevia rebaudiana,no data available,no data available
st. johns wort,no data available,no data available
spirulina,spirulina is contraindicated in those who are hypersensitive to any component of this product.,hypersensitive to any component of this product
silymarin [milk thistle],contraindicated in patient with a known hypersensitivity to silymarin.,hypersensitivity to silymarin
sharbat musaffi,no data available,no data available
sharbat amla,there is no evidence available in contraindication but it may happen in patients who are hypersensitive to any of its ingredient.,hypersensitive to any of its ingredient
saw palmetto (500 mg),no absolute contraindications.,no absolute contraindications
saw palmetto (160 mg),saw palmetto is not indicated for advanced bph with severe urinary retention. it should not be used without frst ruling out prostate cancer.,it should not be used without frst ruling out prostate cancer
saribadyarista,there is no absolute contraindication.,no absolute contraindication
sanoon babla,there is no known contraindication.,there is no known contraindication
sanjivani rasayan,there is no absolute contraindication.,no absolute contraindication
sana + revand chini + neem + chirata + tulsi,there is no known contraindication.,there is no known contraindication
salep + coconut + poppy seeds + almond,there is no known contraindication.,there is no known contraindication
"salajeet [mineral pitch, red sage]",there is no known contraindication.,there is no known contraindication
saffron + sand lizard + nutmeg fruit,it is contraindicated for children.,it is contraindicated for children
betamethasone + calcipotriol,betamethasone and calcipotriol containing preparation is contraindicated in those patients with a history of hypersensitivity to any of the components of the preparation. it is also contraindicated in patients with known disorders of calcium metabolism. patients with severe renal insufficiency or severe hepatic disorders are also contraindicated.,patients with severe renal insufficiency or severe hepatic disorders
betamethasone,do not take betamethasone soluble tablets: if you are allergic to betamethasone or any of the other ingredients of this medicine if you have an infection and have not yet started taking medicine (e.g. antibiotics) to treat it.,if you have an infection and have not yet started taking medicine
betahistine mesylate,"hypersensitivity to betahistine mesylate, pheochromocytoma, peptic ulcer, acute bronchial asthma.",.
betahistine dihydrochloride,betahistine is contraindicated in pheochromocytoma.,betahistine
betacarotene + vitamin c + vitamin e,carocet is contraindicated in patients with hypersensitivity to any of its components.,hypersensitivity to any of its components
besifloxacin,hypersensitivity to the active ingredient or any component of this formulation.,hypersensitivity to the active ingredient or any component of this formulation
bepotastine besilate,contraindicated in patients with a history of hypersensitivity reactions to bepotastine besilate or any of the other ingredients of this product.,hypersensitivity reactions
benzyl penicillin,hypersensitivity to benzylpenicillin and other penicillins.,hypersensitivity to benzylpenicillin and other penicillins
benzyl benzoate,broken or irritated skin; neonates; pregnancy.,broken or irritated skin; neonates; pregnancy
benzyl alcohol,hypersensitivity to any of the active ingredients.,hypersensitivity to any of the active ingredients
